id;qtde;desc_faixa
0;43350;30 a 34 anos:
1;43095;25 a 29 anos:
2;43069;35 a 39 anos:
3;37307;20 a 24 anos:
4;35618;40 a 44 anos:
5;26049;45 a 49 anos:
6;19202;50 a 54 anos:
7;12534;55 a 59 anos:
8;4655;60 a 64 anos:
9;3551;14 a 19 anos: 
10;1333;65 a 69 anos:
11;388;70 a 100 anos:
