cnae;qtde
8610;38982
4711;10999
1012;8850
4930;7477
8411;6744
4120;5246
3811;4474
1011;3945
5611;3708
5310;3215
8630;3208
8640;2964
4744;2947
8121;2693
1071;2675
5620;2628
7820;2453
8660;2186
4221;2128
8690;2118
