uf_emp;qtde
São Paulo;95423
Minas Gerais;29667
Rio Grande do Sul;23743
Paraná;21736
Santa Catarina;17341
Rio de Janeiro;16048
Goiás;7911
Bahia;7134
Mato Grosso;7052
Espírito Santo;6907
Pernambuco;5245
Ceará;4913
Mato Grosso do Sul;4779
Pará;4466
Distrito Federal;3274
Amazonas;2633
Rio Grande do Norte;1859
Rondônia;1717
Maranhão;1637
Alagoas;1407
Tocantins;1328
Paraíba;1307
Sergipe;1140
Piauí;749
Roraima;271
Amapá;240
Acre;225
