cnae;qtde
8610;25754
4711;9918
4930;6424
8411;6193
1012;5204
5611;5118
5310;4536
4120;4378
1011;3825
3811;3636
8121;2954
1071;2795
5620;2591
4744;2459
8640;2362
7820;2334
8630;2298
4921;2045
4530;1871
2949;1830
