cbo;qtde
322205;14578
784205;13985
514320;9206
782510;5764
717020;4685
521110;4222
411005;3944
411010;3551
521125;3453
514205;3378
322230;3312
415205;3233
223505;3180
513505;3175
783225;2952
848510;2905
513205;2840
911305;2815
414105;2733
514225;2699
