id;qtde;desc_faixa
0;40314;30 a 34 anos:
1;39420;35 a 39 anos:
2;37997;25 a 29 anos:
3;32621;40 a 44 anos:
4;24642;20 a 24 anos:
5;24544;45 a 49 anos:
6;18811;50 a 54 anos:
7;13132;55 a 59 anos:
8;6747;60 a 64 anos:
9;2263;65 a 69 anos:
10;778;70 a 100 anos:
11;535;14 a 19 anos: 
