cid;qtde
S610;14498
S934;9349
S626;7158
Z209;6496
S800;5375
S600;5046
S61;4196
S602;3431
T07;3398
S611;3396
M255;2803
S900;2770
S619;2755
M545;2625
S400;2574
S525;2330
S62;2208
S903;2204
S923;2183
S420;1898
