uf_emp;qtde
São Paulo;95423
Minas Gerais;29667
Rio Grande do Sul;23743
Paraná;21736
Santa Catarina;17341
Rio de Janeiro;16048
Goiás;7911
Bahia;7134
Mato Grosso;7052
Espírito Santo;6907
