uf_emp;qtde
São Paulo;177201
Minas Gerais;48658
Rio Grande do Sul;38683
Paraná;38050
Rio de Janeiro;31683
Santa Catarina;29353
Goiás;13729
Espírito Santo;11341
Bahia;11059
Mato Grosso;10482
Pernambuco;9600
Ceará;9222
Mato Grosso do Sul;7586
Pará;7077
Distrito Federal;6267
Amazonas;4582
Rio Grande do Norte;3428
Rondônia;2903
Maranhão;2769
Alagoas;2498
Paraíba;2269
Sergipe;1806
Piauí;1359
Tocantins;1058
Roraima;508
Acre;464
Amapá;412
