natureza;qtde
Corte, Laceracao, Fe;99688
Fratura;80367
Contusao, Esmagament;69097
Lesao Imediata, Nic;45541
Distensao, Torcao;43587
Escoriacao, Abrasao;38689
Luxacao;24534
Queimadura ou Escald;12950
Lesoes Multiplas;11635
Lesao Imediata;11432
Doenca, Nic;9705
Inflamacao de Articu;4755
Amputacao ou Enuclea;4216
Queimadura Quimica (;3467
Doenca Contagiosa ou;3207
Perda ou Diminuicao;2938
Concussao Cerebral;2084
Dermatose (Erupcao,;1639
Choque Eletrico e El;1362
Envenenamento Sistem;1173
