id;qtde;desc_faixa
0;77052;30 a 34 anos:
1;75417;25 a 29 anos:
2;75188;35 a 39 anos:
3;62465;40 a 44 anos:
4;57960;20 a 24 anos:
5;46530;45 a 49 anos:
6;35726;50 a 54 anos:
7;24362;55 a 59 anos:
8;11759;60 a 64 anos:
9;3951;65 a 69 anos:
10;2326;14 a 19 anos: 
11;1310;70 a 100 anos:
