cbo;qtde
322205;30305
784205;27543
514320;18457
782510;11138
717020;9188
521110;7867
411005;7499
514205;7013
521125;6933
411010;6855
513505;6478
322230;6382
223505;6355
848510;5939
783225;5525
911305;5513
414105;5472
415205;5275
513205;5268
514225;4987
