cid;qtde
S610;28562
S934;18270
S626;14192
Z209;13619
S800;10052
S600;9401
S611;7656
S61;7567
S602;6822
T07;6339
S619;6257
S900;5433
M255;5409
M545;5240
S400;4763
S923;4540
S525;4419
S903;4164
S62;3913
T149;3691
